"correct","rt","response","stimulus","trial_type","trial_index","plugin_version","time_elapsed"
"a","6178","a","data/A/output64-3.wav","audio-keyboard-response","2","2.1.0","13960"
"a","1324","a","data/A/output3-3.wav","audio-keyboard-response","3","2.1.0","15290"
"h","1766","a","data/H/148.6-6.wav","audio-keyboard-response","4","2.1.0","17062"
"h","578","a","data/H/65.7-5.wav","audio-keyboard-response","5","2.1.0","17646"
"h","458","a","data/H/428-3.wav","audio-keyboard-response","6","2.1.0","18110"
"h","175","a","data/H/256-5.wav","audio-keyboard-response","7","2.1.0","18290"
"a","275","a","data/A/output75-1.wav","audio-keyboard-response","8","2.1.0","18572"
"a","176","a","data/A/output14-6.wav","audio-keyboard-response","9","2.1.0","18754"
"a","135","a","data/A/output21-1.wav","audio-keyboard-response","10","2.1.0","18896"
"h","134","a","data/H/90.5-6.wav","audio-keyboard-response","11","2.1.0","19036"
"h","136","a","data/H/368-7.wav","audio-keyboard-response","12","2.1.0","19177"
"h","134","a","data/H/292-2.wav","audio-keyboard-response","13","2.1.0","19318"
"a","136","a","data/A/output16-1.wav","audio-keyboard-response","14","2.1.0","19460"
"h","134","a","data/H/294-4.wav","audio-keyboard-response","15","2.1.0","19600"
"a","136","a","data/A/output61-3.wav","audio-keyboard-response","16","2.1.0","19742"
"a","113","a","data/A/output79-3.wav","audio-keyboard-response","17","2.1.0","19861"
"h","356","a","data/H/227.11-5.wav","audio-keyboard-response","18","2.1.0","20224"
"a","216","a","data/A/output31-5.wav","audio-keyboard-response","19","2.1.0","20446"
"h","177","a","data/H/276-8.wav","audio-keyboard-response","20","2.1.0","20628"
"h","155","a","data/H/244.15-6.wav","audio-keyboard-response","21","2.1.0","20788"
"h","1988","a","data/H/325-5.wav","audio-keyboard-response","22","2.1.0","22782"
"a","319","a","data/A/output26-4.wav","audio-keyboard-response","23","2.1.0","23106"
"a","154","a","data/A/output77-3.wav","audio-keyboard-response","24","2.1.0","23266"
"h","136","a","data/H/375-1.wav","audio-keyboard-response","25","2.1.0","23408"
"h","337","a","data/H/290-2.wav","audio-keyboard-response","26","2.1.0","23750"
"a","1847","a","data/A/output10-6.wav","audio-keyboard-response","27","2.1.0","25602"
"a","398","a","data/A/output81-3.wav","audio-keyboard-response","28","2.1.0","26005"
"h","317","a","data/H/283-7.wav","audio-keyboard-response","29","2.1.0","26328"
"a","418","a","data/A/output19-1.wav","audio-keyboard-response","30","2.1.0","26752"
"h","317","a","data/H/175.5-5.wav","audio-keyboard-response","31","2.1.0","27074"
"a","278","a","data/A/output58-3.wav","audio-keyboard-response","32","2.1.0","27356"
"a","155","a","data/A/output48-2.wav","audio-keyboard-response","33","2.1.0","27516"
"a","137","a","data/A/output80-2.wav","audio-keyboard-response","34","2.1.0","27658"
"a","115","a","data/A/output28-2.wav","audio-keyboard-response","35","2.1.0","27778"
"h","135","a","data/H/5.7-2.wav","audio-keyboard-response","36","2.1.0","27920"
"a","133","a","data/A/output70-1.wav","audio-keyboard-response","37","2.1.0","28059"
"h","137","a","data/H/122.6-4.wav","audio-keyboard-response","38","2.1.0","28202"
"a","135","a","data/A/output39-6.wav","audio-keyboard-response","39","2.1.0","28342"
"h","137","a","data/H/402-8.wav","audio-keyboard-response","40","2.1.0","28484"
"h","477","a","data/H/426-6.wav","audio-keyboard-response","41","2.1.0","28966"
"a","1265","a","data/A/output67-3.wav","audio-keyboard-response","42","2.1.0","30236"
